epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4726,1.18549,2.53652,1.00121,0.89143,0.09953,0.24726,0.17357,1.07118,3.34784,0.91207,0.000362776,0.000362776,0.000362776
2,22.1337,1.11548,1.47307,0.97768,0.79733,0.24835,0.48477,0.30234,1.10516,1.93235,0.94006,0.000718593,0.000718593,0.000718593
3,32.7794,1.09566,1.29718,0.97881,0.6813,0.43283,0.49717,0.33018,1.04125,1.24645,0.92724,0.00105975,0.00105975,0.00105975
4,43.634,1.07951,1.1807,0.97897,0.67464,0.54185,0.60701,0.38491,1.01124,0.94368,0.93468,0.00104501,0.00104501,0.00104501
5,54.3632,1.02968,1.08722,0.95214,0.8292,0.61147,0.69354,0.44838,0.96223,0.81521,0.92558,0.00102301,0.00102301,0.00102301
6,64.9521,0.99972,0.99937,0.94578,0.84132,0.66589,0.72122,0.45995,0.95174,0.83575,0.91712,0.00100101,0.00100101,0.00100101
7,75.5237,0.99481,0.93451,0.94256,0.83056,0.62938,0.73805,0.46974,0.92603,0.71914,0.89918,0.000979013,0.000979013,0.000979013
8,86.0397,0.99101,0.87117,0.94871,0.8302,0.6989,0.756,0.48827,0.90195,0.70033,0.89396,0.000957015,0.000957015,0.000957015
9,96.5186,0.96724,0.8475,0.93562,0.83189,0.69432,0.77371,0.52146,0.87694,0.67159,0.89538,0.000935018,0.000935018,0.000935018
10,107.041,0.94256,0.78775,0.93391,0.83551,0.73663,0.78076,0.51074,0.8478,0.63052,0.8891,0.00091302,0.00091302,0.00091302
11,117.521,0.91164,0.73835,0.92453,0.88878,0.7297,0.79101,0.52977,0.82485,0.60503,0.88923,0.000891022,0.000891022,0.000891022
12,128.038,0.91773,0.73481,0.92105,0.90728,0.70946,0.80245,0.53139,0.83363,0.6705,0.88142,0.000869024,0.000869024,0.000869024
13,138.608,0.89828,0.70656,0.91058,0.82112,0.75273,0.80034,0.5372,0.81355,0.59096,0.87898,0.000847026,0.000847026,0.000847026
14,149.125,0.88151,0.65321,0.91343,0.85941,0.74277,0.81443,0.55424,0.81889,0.58192,0.88142,0.000825029,0.000825029,0.000825029
15,159.653,0.86919,0.6527,0.91627,0.87492,0.74328,0.81946,0.56598,0.79374,0.55423,0.87842,0.000803031,0.000803031,0.000803031
16,170.189,0.88149,0.65797,0.92048,0.90201,0.71603,0.81313,0.55148,0.77479,0.57497,0.87014,0.000781033,0.000781033,0.000781033
17,180.791,0.87353,0.65237,0.90957,0.8745,0.74457,0.81709,0.56129,0.77227,0.54006,0.86681,0.000759035,0.000759035,0.000759035
18,191.345,0.8571,0.63191,0.91456,0.89147,0.74686,0.83559,0.57761,0.76184,0.52509,0.85995,0.000737037,0.000737037,0.000737037
19,201.89,0.83609,0.61719,0.90372,0.84451,0.80832,0.8479,0.57931,0.75462,0.5242,0.86448,0.00071504,0.00071504,0.00071504
20,212.42,0.81921,0.5941,0.89747,0.85469,0.80649,0.85738,0.59531,0.7603,0.51305,0.8584,0.000693042,0.000693042,0.000693042
21,222.987,0.81208,0.58044,0.89262,0.90618,0.77553,0.86353,0.60057,0.73453,0.49642,0.86,0.000671044,0.000671044,0.000671044
22,233.585,0.79676,0.56936,0.90044,0.89049,0.78927,0.86492,0.59633,0.72403,0.52019,0.85483,0.000649046,0.000649046,0.000649046
